promotion,date,rating,comment_,mark?,comment_clean,total_words
wwe,2022-03-25,6.0," ""The problem with WWE is they aren't moving forward but keeps looking to the past. Despite having a stacked and talented roster, they are often underutilized and overlooked. Only a select few have ascended to main event status in the past decade and many times, even they get pass over needlessly. Only three names has maintained their status at the top consistently since 2015: Roman Reigns, Becky Lynch & Charlotte Flair; While Seth Rollins is a recognized star, he often floats over to the midcard. Since his return, Brock Lesnar has been treated as the biggest star and has become World Champion 6 more times despite having less than 20 appearances per year; Goldberg has won the Universal Title twice though he has even less appearances than Lesnar; The Rock has main evented WrestleMania twice and won the WWE Championship once; HHH has won the Rumble, the WWE Championship and main evented WrestleMania one time each. Since 2010, only 11 wrestlers main evented WrestleMania for the first time and among them only Roman Reigns has main evented WrestleMania more than once; Only Roman Reigns has consistently main evented ppvs as World Champion among the new Champions crowned since 2010. Management refuses to create legitimate stars and often pass them over when they are on the verge of major breakthroughs in favor of part time wrestlers and established stars.""",Not a Mark,the problem with wwe is they arent moving forward but keeps looking to the past despite having a stacked and talented roster they are often underutilized and overlooked only a select few have ascended to main event status in the past decade and many times even they get pass over needlessly only three names has maintained their status at the top consistently since roman reigns becky lynch charlotte flair while seth rollins is a recognized star he often floats over to the midcard since his return brock lesnar has been treated as the biggest star and has become world champion more times despite having less than appearances per year goldberg has won the universal title twice though he has even less appearances than lesnar the rock has main evented wrestlemania twice and won the wwe championship once hhh has won the rumble the wwe championship and main evented wrestlemania one time each since only wrestlers main evented wrestlemania for the first time and among them only roman reigns has main evented wrestlemania more than once only roman reigns has consistently main evented ppvs as world champion among the new champions crowned since management refuses to create legitimate stars and often pass them over when they are on the verge of major breakthroughs in favor of part time wrestlers and established stars,221
wwe,2022-03-24,9.0,""" Top 5 wrestlers in the WWE today, he has a very classic and entertaining style of wrestling to watch. The match between him and Ilja Dragunov is impossible to forget.""",Mark,top wrestlers in the wwe today he has a very classic and entertaining style of wrestling to watch the match between him and ilja dragunov is impossible to forget,29
wwe,2022-03-22,5.0," ""I got introduced to wrestling by watching WrestleMania 24 on my dad's old, cracked Premiere receiver. A year later, when Jeff Hardy had to leave, I quit watching for several years after that. In retrospect, besides missing Punk's run, maybe that was for the better. Shortly after WM 31, I came back during a great time and became a big fan. This made me look more into wrestling, which ironically became the reason why I started to dislike their product. I started watching New Japan, Styles and Nakamura, Okada and Tanahashi. WWE's in-ring product became boring to me after that. I knew what I preferred, but Styles debuting at the Royal Rumble kept me around for another few years. Now, I watch the competition. No more having to sit through a childish, overproduced reality television show, featuring awfully scripted dialogue, between an endless loop of rematches, just to get to the occasional good parts. But, there's no need to get into it, because WWE have declared themselves 'not a pro-wrestling company'. So, there's only a single major one left in the US, atm. I hope for a better product in the future and will watch again, should they improve.""",Not a Mark,i got introduced to wrestling by watching wrestlemania on my dads old cracked premiere receiver a year later when jeff hardy had to leave i quit watching for several years after that in retrospect besides missing punks run maybe that was for the better shortly after wm i came back during a great time and became a big fan this made me look more into wrestling which ironically became the reason why i started to dislike their product i started watching new japan styles and nakamura okada and tanahashi wwes inring product became boring to me after that i knew what i preferred but styles debuting at the royal rumble kept me around for another few years now i watch the competition no more having to sit through a childish overproduced reality television show featuring awfully scripted dialogue between an endless loop of rematches just to get to the occasional good parts but theres no need to get into it because wwe have declared themselves not a prowrestling company so theres only a single major one left in the us atm i hope for a better product in the future and will watch again should they improve,197
wwe,2022-03-19,5.0," ""Let's start with this: Popularity is not the same as quality, and WWE, even at his best, was NEVER the best promotion in the world. During 80's we had AJW, UWF and NWA doing a better job as a wrestling company, during 90's promotions like AJPW, AJW and WCW were the best, during 2000's RoH, NOAH and TNA were the best, and well, from 2010's onwards wwe was not even on the discussion for best promotion in the world anymore, as promotions like Stardom, NJPW, etc. were doing a better job. That being said, I give WWE credit for bringing wrestling popularity and for being a very entertaining promotion that from time to time brings a couple of great matches and historylines, but that's all. Any other than that, their tag division almost always sucked, until the so called ""womans revolution"" the women's division was a joke of panties and tits, and even their singles division never was on the level of being the best of the best they always like to sell.""",Not a Mark,lets start with this popularity is not the same as quality and wwe even at his best was never the best promotion in the world during we had ajw uwf and nwa doing a better job as a wrestling company during promotions like ajpw ajw and wcw were the best during roh noah and tna were the best and well from onwards wwe was not even on the discussion for best promotion in the world anymore as promotions like stardom njpw etc were doing a better job that being said i give wwe credit for bringing wrestling popularity and for being a very entertaining promotion that from time to time brings a couple of great matches and historylines but thats all any other than that their tag division almost always sucked until the so called womans revolution the womens division was a joke of panties and tits and even their singles division never was on the level of being the best of the best they always like to sell,169
wwe,2022-03-18,4.0," ""Four points for the reason why i'am a wrestling fan today, and some good things right now (still uncommon). They do not want to be consider as wrestling and it's a shame, because they are a wrestling promotion after all but not for Vince and co. The product is terrible, a lot of crappy storyline, a lot of disappointment and some terrible choices. Why do we have to create new stars (Except Drew and Bianca last year) when we have Goldberg and Lesnar ? Honestly it's stupid, they need to create young stars ASAP. They waste a lot of talents because they are not sport entertainers like The Rock or another, and it's annoying. The management of this promotion is absolutely atrocious, with their budget cut when they have billions and billions of dollars every year. They can do some good ideas (like Reigns' heel turn) but it's really uncommon unfortunately.""",Not a Mark,four points for the reason why iam a wrestling fan today and some good things right now still uncommon they do not want to be consider as wrestling and its a shame because they are a wrestling promotion after all but not for vince and co the product is terrible a lot of crappy storyline a lot of disappointment and some terrible choices why do we have to create new stars except drew and bianca last year when we have goldberg and lesnar honestly its stupid they need to create young stars asap they waste a lot of talents because they are not sport entertainers like the rock or another and its annoying the management of this promotion is absolutely atrocious with their budget cut when they have billions and billions of dollars every year they can do some good ideas like reigns heel turn but its really uncommon unfortunately,150
wwe,2022-03-10,2.0,"""WWE today or generally since the Cena later Lesnar / Reign's era is a complete 0 for me. But at least I have to acknowledge that there was a phases where I liked WWE or rather then WWF correctly. Thus, at least I still give me 2 points""",Not a Mark,wwe today or generally since the cena later lesnar reigns era is a complete for me but at least i have to acknowledge that there was a phases where i liked wwe or rather then wwf correctly thus at least i still give me points,45
wwe,2022-03-04,3.0," ""The biggest problem with the World Wrestling Entertainment is that it is janky. The focus of the creative is purely based on keeping the product chugging along, never creating something worth watching. Occasional creative spots exist due to outside authority figures who are actually interested in wrestling (Like Heyman, Lesnar or Triple H when he was allowed to run NXT). Watching the weekly shows is a sisyphean task and the PPVs are mostly meh except of the main event (even that isn't always a guarantee)""",Not a Mark,the biggest problem with the world wrestling entertainment is that it is janky the focus of the creative is purely based on keeping the product chugging along never creating something worth watching occasional creative spots exist due to outside authority figures who are actually interested in wrestling like heyman lesnar or triple h when he was allowed to run nxt watching the weekly shows is a sisyphean task and the ppvs are mostly meh except of the main event even that isnt always a guarantee,85
wwe,2022-03-01,3.0," ""The reason I am a fan today including WCW. But judging it by today's product there's so many reasons why I don't like the company anymore. Thankfully with AEW I get my fix of Wrestling weekly. All I tune into from WWE now is just the Rumble and Mania maybe some clips here and there. Then I'm usually reminded why I don't watch it anymore. More people should just hop on the AEW bandwagon or just stop watching WWE entirely. A lot of fans just hate-watch it thinking it will get better that was me for a long time. Now there are viable alternatives unlike before 2019.""",Not a Mark,the reason i am a fan today including wcw but judging it by todays product theres so many reasons why i dont like the company anymore thankfully with aew i get my fix of wrestling weekly all i tune into from wwe now is just the rumble and mania maybe some clips here and there then im usually reminded why i dont watch it anymore more people should just hop on the aew bandwagon or just stop watching wwe entirely a lot of fans just hatewatch it thinking it will get better that was me for a long time now there are viable alternatives unlike before,106
wwe,2022-02-21,4.0," ""They were never that great, but they are more of a ""sports-entertainment"" company than a wrestling company anyway. Before the mid 80s, their shows were usually pretty boring. They were kinda entertaining from the mid 80s to early 90s (The Golden Age Era), especially if you were a kid at the time. In the mid to late 90s (The New Generation Era), they had some solid workers, like Owen Hart, Sean Waltman, Shawn Michaels and Bret Hart. The era between WrestleMania XIV and XVII (The Attitude Era) was their most embarrassing era, if you were a true fan of pro wrestling because of them focusing on ""entertainment"" more than ever before and focusing on wrestling less than ever before. All subsequent eras (The Ruthless Aggression Era, The PG Era, The Reality Era, The New Era) all seem the same with everything having to be streamlined to WWE-style. Maybe the main problem with the WWE is that most of the talented wrestlers entering the WWE have to simplify their wrestling in order to fit the WWE mold, even if it seems WWE has introduced a bit more of an athletic style in recent years with their NXT brand becoming more popular. One of the best things WWE did in recent years was renaming their ""divas division"" to ""women's division"" in 2016, because the way women were presented when they were called ""divas"" was embarrassing. All things considered, WWE is mediocre at best overall.""",Not a Mark,they were never that great but they are more of a sportsentertainment company than a wrestling company anyway before the mid their shows were usually pretty boring they were kinda entertaining from the mid to early the golden age era especially if you were a kid at the time in the mid to late the new generation era they had some solid workers like owen hart sean waltman shawn michaels and bret hart the era between wrestlemania xiv and xvii the attitude era was their most embarrassing era if you were a true fan of pro wrestling because of them focusing on entertainment more than ever before and focusing on wrestling less than ever before all subsequent eras the ruthless aggression era the pg era the reality era the new era all seem the same with everything having to be streamlined to wwestyle maybe the main problem with the wwe is that most of the talented wrestlers entering the wwe have to simplify their wrestling in order to fit the wwe mold even if it seems wwe has introduced a bit more of an athletic style in recent years with their nxt brand becoming more popular one of the best things wwe did in recent years was renaming their divas division to womens division in because the way women were presented when they were called divas was embarrassing all things considered wwe is mediocre at best overall,237
wwe,2022-02-20,10.0," ""The only pro wrestling/sports entertainment company that matters to me. Fan since 2001. Thank you for decades of entertainment.""",Mark,the only pro wrestlingsports entertainment company that matters to me fan since thank you for decades of entertainment,18
