date,rating,comment_,mark?,comment_clean,total_words
2022-03-21,,"""Let's assess some of the things people hate about WWE: Corny characters, one-named wrestlers, bad matches with nonsensical stipulations, outside interference and disappointing finishes, nepotism and cronyism in management, and an overreliance on old stars. You know, I have heard people say, ""In Japan, it's a sport. In Mexico, it's a tradition. In America, it's a joke."" I wonder if the people who believe this have ever actually watched lucha libre. How the hell is one a tradition and one a joke if they both do the exact same crap?""",,lets assess some of the things people hate about wwe corny characters onenamed wrestlers bad matches with nonsensical stipulations outside interference and disappointing finishes nepotism and cronyism in management and an overreliance on old stars you know i have heard people say in japan its a sport in mexico its a tradition in america its a joke i wonder if the people who believe this have ever actually watched lucha libre how the hell is one a tradition and one a joke if they both do the exact same crap,90
2022-01-24,10.0," ""AAA might be a complete car wreck but it's one entertaining car wreck to watch. It may not be like lucha of the past, but it's AAA.""",Mark,aaa might be a complete car wreck but its one entertaining car wreck to watch it may not be like lucha of the past but its aaa,27
2021-12-23,3.0," ""Every time I watch this company it's a complete mess. Matches are botchy as hell, matches just end without winners, matches not being advertised like at all it's fine if it's a lower card match but if you have big matches you advertise them. The worst is most of the matches, are really bad with the exception of one or two matches.""",Not a Mark,every time i watch this company its a complete mess matches are botchy as hell matches just end without winners matches not being advertised like at all its fine if its a lower card match but if you have big matches you advertise them the worst is most of the matches are really bad with the exception of one or two matches,62
2021-12-20,4.0," ""I don't know what some of these other people are watching. Triplemania Regia showed that AAA is still a mess, even when they have shows with fans. 2021 was a sad year for this promotion, with many TV tapings being in front of nobody (COVID restrictions), and the material from those tapings seems to live in a parallel universe, with regards to the big events. There's still too much of a reliance on old names, and the heel side is currently too heavy. On top of that, it has to be said - Konnan is creatively bankrupt in today's wrestling. He loves his usual swerves and outdated xenophobic tropes, but this stuff has been done to death. Especially the ""someone comes out with babyface only to betray him immediately"" bit. It's sad because there is talent, and this promotion was in a position to deliver a knockout blow to CMLL, but instead, AAA's Triplemania Regia only proved that both promotions have serious problems. Hell, at least CMLL is slowly building new stars, and got to play with NJPW and Ice Ribbon talents, even if only for a bit. They even made women main event. AAA is mainly Konnan's wild ride, with El Hijo del Vikingo as the current top champion, and the Muñoz family coming in to spice things up near the top of the card. Seriously, do yourself a favor and don't watch AAA's TV product, it was so poor this year. CMLL can rest easy if THIS is the competition.""",Not a Mark,i dont know what some of these other people are watching triplemania regia showed that aaa is still a mess even when they have shows with fans was a sad year for this promotion with many tv tapings being in front of nobody covid restrictions and the material from those tapings seems to live in a parallel universe with regards to the big events theres still too much of a reliance on old names and the heel side is currently too heavy on top of that it has to be said konnan is creatively bankrupt in todays wrestling he loves his usual swerves and outdated xenophobic tropes but this stuff has been done to death especially the someone comes out with babyface only to betray him immediately bit its sad because there is talent and this promotion was in a position to deliver a knockout blow to cmll but instead aaas triplemania regia only proved that both promotions have serious problems hell at least cmll is slowly building new stars and got to play with njpw and ice ribbon talents even if only for a bit they even made women main event aaa is mainly konnans wild ride with el hijo del vikingo as the current top champion and the muñoz family coming in to spice things up near the top of the card seriously do yourself a favor and dont watch aaas tv product it was so poor this year cmll can rest easy if this is the competition,250
2021-09-01,8.0," ""Currently, Triple A is the best Mexican product in terms of wrestling, being the most renewed it is and better knows how to handle rivalries, in addition to having great wrestlers such as Alberto el Patron, Garza Jr, Myzteziz and Rey Mysterio Jr, something else To highlight is its relationship with AEW because Kenny Omega is a world champion, a great company with a fairly decent product.""",Mark,currently triple a is the best mexican product in terms of wrestling being the most renewed it is and better knows how to handle rivalries in addition to having great wrestlers such as alberto el patron garza jr myzteziz and rey mysterio jr something else to highlight is its relationship with aew because kenny omega is a world champion a great company with a fairly decent product,67
2021-08-14,5.0," ""It is a promoter with history, but it leaves much to be desired as the shows are organized and everything that entails, because it is nothing flashy.""",Not a Mark,it is a promoter with history but it leaves much to be desired as the shows are organized and everything that entails because it is nothing flashy,27
2021-07-28,10.0," ""Best lucha promotion going. While the company has had a few bad years off and on, the in ring product has almost always been near the top. The last few years the company has moved away from a lot of the issues plaguing the booking. Most shows deliver and even those that don't are still pretty fun. While not really stuck in stasis the same way CMLL is, a lot of the roster could use more forward momentum more frequently. From their boom period in the 90s to their current product, I have no issue giving them an easy 10.""",Mark,best lucha promotion going while the company has had a few bad years off and on the in ring product has almost always been near the top the last few years the company has moved away from a lot of the issues plaguing the booking most shows deliver and even those that dont are still pretty fun while not really stuck in stasis the same way cmll is a lot of the roster could use more forward momentum more frequently from their boom period in the to their current product i have no issue giving them an easy,98
2021-06-20,9.0," ""I get that the storytelling at this point is not good at all and that the seemingly non-serialized nature can make it hard or pointless to follow, but all I can say to that is: read a book for your storytelling. I can't see the wild, creative, or fun moves that AAA offers in literature, and although it's present in other wrestling promotions, the wild shit starts here. From Eddie and Rey to Penta and Fenix, this is the place where future stars get to try out all the wildness that ends up getting them over in America once they conquer Mexico. I can watch any wrestling show and see restholds that 'tell a story' but the moves I see in lucha libre, and AAA in particular, will always be the kind of fun I want in my wrestling.""",Mark,i get that the storytelling at this point is not good at all and that the seemingly nonserialized nature can make it hard or pointless to follow but all i can say to that is read a book for your storytelling i cant see the wild creative or fun moves that aaa offers in literature and although its present in other wrestling promotions the wild shit starts here from eddie and rey to penta and fenix this is the place where future stars get to try out all the wildness that ends up getting them over in america once they conquer mexico i can watch any wrestling show and see restholds that tell a story but the moves i see in lucha libre and aaa in particular will always be the kind of fun i want in my wrestling,139
2021-02-07,8.0," ""Assets: Has managed to establish itself as a top promotion in their home country. Offers a more contemporary promotional model than their chief competitor (which includes touring. ) Their ambitions to expand internationally are increasing their influence in the North American market. - - - Flaws: Their efforts to expand internationally without any partnership have not been successful to date. Their flagship shows have been disastrous at times, which have marred their reputation with fans outside of Mexico. May not have the business acumen (or perhaps more appropriately, business mores) to succeed beyond the Mexican market. - - - Promotion Potential: National league wrestling promotion with major league aspirations.""",Mark,assets has managed to establish itself as a top promotion in their home country offers a more contemporary promotional model than their chief competitor which includes touring their ambitions to expand internationally are increasing their influence in the north american market  flaws their efforts to expand internationally without any partnership have not been successful to date their flagship shows have been disastrous at times which have marred their reputation with fans outside of mexico may not have the business acumen or perhaps more appropriately business mores to succeed beyond the mexican market  promotion potential national league wrestling promotion with major league aspirations,102
2020-12-13,10.0," ""AAA is the perfect homolagation of AEW and CMLL. The realism is outstanding the production quality is phenomanal the characters are intriguing and they do weekly youtube shows for free. This is easily one of the top three promotions in the world right now.""",Mark,aaa is the perfect homolagation of aew and cmll the realism is outstanding the production quality is phenomanal the characters are intriguing and they do weekly youtube shows for free this is easily one of the top three promotions in the world right now,44
