date,rating,comment_,mark?,comment_clean,total_words
2022-06-04,10.0," ""Currently they are on a hot streak and is hit after hit with good matches, good storylines, good production values, etc. and everything feels less ""indy"" than at the beginning and more ""professional"", if they are capable of keeping this pace we may be witnessing a new ""golden era"" of pro wrestling such as Attitude era, 2000's ROH and TNA, 2010's NJPW, 90's AJPW, etc.""",Mark,currently they are on a hot streak and is hit after hit with good matches good storylines good production values etc and everything feels less indy than at the beginning and more professional if they are capable of keeping this pace we may be witnessing a new golden era of pro wrestling such as attitude era roh and tna njpw ajpw etc,62
2022-03-04,9.0," ""Best in the business today. PPVs are always filled with banger matches, and fairly often you get a high quality PPV tier match on one of the weekly shows.""",Mark,best in the business today ppvs are always filled with banger matches and fairly often you get a high quality ppv tier match on one of the weekly shows,29
2022-03-31,9.0," ""The best Wrestling company today, was founded in a year in which WWE dominated the competition among all companies, but with the great matches and the great wrestlers who signed, they managed to compete with them. Nowadays it is not more popular than WWE obviously, and it is very unlikely that it will become so, but it is a better product by far.""""",Mark,the best wrestling company today was founded in a year in which wwe dominated the competition among all companies but with the great matches and the great wrestlers who signed they managed to compete with them nowadays it is not more popular than wwe obviously and it is very unlikely that it will become so but it is a better product by far,63
2022-03-30,8.0," ""Essentially, it is a slightly different version of the 'e'. If you don't like what wwe does, you might still enjoy the dub if you can shake off it's eerie wwe-like atmosphere one invariably encounters. They still rely on TV ratings, so it must resemble the other company in order to compete for that same shared audience; from production (camera direction isn't as atrocious) to structured/scripted shows with usual wrestling segment tropes that must adhere to the norms and limitations of television. The promos are better but still somewhat forced/scripted at times, the stories aren't as laughable (some of the long-term stuff can be pretty fucking good), and the in-ring work is a bit more freeing (still psychologically bankrupt); not the best or the worst you'll see. For my money, only a handful of truly 'elite' talents out there. You shouldn't be watching for the wrestling itself but for everything that happens around it - It's a tv show first, a live wrestling show second, or third. They also must deal with ""real life shit"" that america has to pretend to care about, which affects booking decisions. I can sometimes dig the tone of the show as ""smarter than usual"". However, it is still the same soulless, immoral, fickle fans that support this entertainment medium, so, many casuals or potential new fans will be turned off. The roster has grown large with many members and not enough time with which to build anything around. They will feature some more frequently, but if your favorites are not serving AEW's goals at that time, you can forever complain about it online with others who also know nothing about running this private company. In the end, not much you haven't seen before; it's just wrestling for the modern masses.""",Mark,essentially it is a slightly different version of the e if you dont like what wwe does you might still enjoy the dub if you can shake off its eerie wwelike atmosphere one invariably encounters they still rely on tv ratings so it must resemble the other company in order to compete for that same shared audience from production camera direction isnt as atrocious to structuredscripted shows with usual wrestling segment tropes that must adhere to the norms and limitations of television the promos are better but still somewhat forcedscripted at times the stories arent as laughable some of the longterm stuff can be pretty fucking good and the inring work is a bit more freeing still psychologically bankrupt not the best or the worst youll see for my money only a handful of truly elite talents out there you shouldnt be watching for the wrestling itself but for everything that happens around it its a tv show first a live wrestling show second or third they also must deal with real life shit that america has to pretend to care about which affects booking decisions i can sometimes dig the tone of the show as smarter than usual however it is still the same soulless immoral fickle fans that support this entertainment medium so many casuals or potential new fans will be turned off the roster has grown large with many members and not enough time with which to build anything around they will feature some more frequently but if your favorites are not serving aews goals at that time you can forever complain about it online with others who also know nothing about running this private company in the end not much you havent seen before its just wrestling for the modern masses,295
2022-03-29,5.0," ""All Elite Wrestling embodies everything that's wrong with modern professional wrestling. If you want to watch a bunch of short skinnyfat wrestlers synchronize a tumbling routine then this company is for you. Tony Khan books like he's booking an E-fed and playing the hits from better promotions that came before. That said, AEW is a company of contrasts. Look no further than the masterpiece that was CM Punk and Maxwell Jacob Friedman's feud that played out over the previous few months. When the professionals are out there you get a truly world class product. Unfortunately so much of the company is dedicated to play wrestlers getting their buddies on TV and no one takes anything seriously. Up and down the talent roster you get some truly great talent like Jay Lethal, Keith Lee, Darby Allin, and the list goes on. But so much time is dedicated to silliness with redundant angles and segments. This company has time to grow and they have put on some the best wrestling in years, however it gets bogged down in indyriffic nonsense too often. Part of me wonders if fans will give AEW a pass on everything because it is the only legitimate competition to WWE since 2001 because some of the stuff that makes air is truly ridiculous.""",Not a Mark,all elite wrestling embodies everything thats wrong with modern professional wrestling if you want to watch a bunch of short skinnyfat wrestlers synchronize a tumbling routine then this company is for you tony khan books like hes booking an efed and playing the hits from better promotions that came before that said aew is a company of contrasts look no further than the masterpiece that was cm punk and maxwell jacob friedmans feud that played out over the previous few months when the professionals are out there you get a truly world class product unfortunately so much of the company is dedicated to play wrestlers getting their buddies on tv and no one takes anything seriously up and down the talent roster you get some truly great talent like jay lethal keith lee darby allin and the list goes on but so much time is dedicated to silliness with redundant angles and segments this company has time to grow and they have put on some the best wrestling in years however it gets bogged down in indyriffic nonsense too often part of me wonders if fans will give aew a pass on everything because it is the only legitimate competition to wwe since because some of the stuff that makes air is truly ridiculous,214
2022-03-26,10.0," ""AEW is pro-wrestling on national television done right. Exceptionally smart leadership that has learned from the mistakes of the promotions that came before them. While I wouldn't have done this a year or two ago, I'm giving them ten stars, not because I'm looking at things through rose-tinted glasses or because I'm a stan but rather because imperfection is inevitable. So much untapped potential while doing so much right, already. Such good sh*t, bay bay.""",Mark,aew is prowrestling on national television done right exceptionally smart leadership that has learned from the mistakes of the promotions that came before them while i wouldnt have done this a year or two ago im giving them ten stars not because im looking at things through rosetinted glasses or because im a stan but rather because imperfection is inevitable so much untapped potential while doing so much right already such good sht bay bay,75
2022-03-19,,"""One of the most important promotions today. AEW has done much right in a short time and that is more and more paying off with time, it is now BUYRATES, TV DEALS or TICKET Sales. With Tony Khan also a capable types at the top of thePromotion leads. Nevertheless, AEW also has its weaknesses such as ZBS. The size of the roster or the constant debuts that lead to nothing. """,,one of the most important promotions today aew has done much right in a short time and that is more and more paying off with time it is now buyrates tv deals or ticket sales with tony khan also a capable types at the top of thepromotion leads nevertheless aew also has its weaknesses such as zbs the size of the roster or the constant debuts that lead to nothing,70
2022-12-03,,"""Other than watching Royal Rumbles, Wrestlemanias, and the occasional YouTube clip, I checked out of wrestling after the Benoit tragedy and this company is what brought me back. Sure there are somethings that aren't for me (looking at you, Best Friends) but the overall product reminds me of the glory days of WCW 1997.""",,other than watching royal rumbles wrestlemanias and the occasional youtube clip i checked out of wrestling after the benoit tragedy and this company is what brought me back sure there are somethings that arent for me looking at you best friends but the overall product reminds me of the glory days of wcw,53
2022-09-03,10.0," ""One of the best wrestling promotions in this century, in its 3 years of existence they've managed to put together excellent cards, build new stars and give high quality matches and storylines, something that was lacking in american wrestling. Big fan of this company.""",Mark,one of the best wrestling promotions in this century in its years of existence theyve managed to put together excellent cards build new stars and give high quality matches and storylines something that was lacking in american wrestling big fan of this company,43
2022-05-03,2.0," ""As much as I hoped AEW would succeed, it has failed to deliver on their promise, and is the very definition of overrated currently. For every good thing they do, they do at least two as bad. Extremely hit and miss variety show, with most shows leaning towards the latter. Their pay per views, for the most part, have been good, occasionally very good, but the womens division, overused ""comedy"" segments, repetition, and booking hasn't been up to scratch, and match quality nowhere near the heights suggested, outside of some excellent tag matches every so often, usually involving The Young Bucks. For me, AEW has lost it's charm, much of which is due to Tony Khan, including going against his word and becoming a weak on screen character and showing nothing of the sort ""sports presentation"", Kenny/Bucks/Cody social media antics and their own loss of charm, repetitive, weak booking, poor use of new talent, and being everything they said they wouldn't be. The world does not need a WWE lite, it needs an alternative. The ratings have gone down for these reasons; get back on track before it's too late. Of course, the hardcore fans will give you 5* matches or 10/10 for every show, but those that actually care about long term success and can see through the trees, know what changes need to be made. The promotion seems split down the middle at the moment, WWE Lite, and PWG Lite, with a little NJPW sprinkled in, which leads to nowhere. Go one way or the other, or better yet, become what you set out to be. The alternative that brings fans and promotions together to create something great. At the moment, it appears a promotion and fanbase that cannot accept any criticism, and thinks ""Everything Is Awesome! "" while things go from bad to worse. Get back to what it was in 2019 and revitalise the booking, utilise the talent at hand that know what works in 2022, and find the rewards. As it stands, this is a promotion going downhill and becoming a WWE alternative rather than a true alternative to WWE, yet has tremendous potential if it can stop being the self congratulatory promotion that wants to pat itself on the back, rather than achieve something special. I hope they make the changes necessary before it becomes a sad product that could have been something great. I truly hope Tony Khan checks his ego at the door sooner or later and hires the appropriate bookers and creative team that can get the best from a talent roster of workers.""",Not a Mark,as much as i hoped aew would succeed it has failed to deliver on their promise and is the very definition of overrated currently for every good thing they do they do at least two as bad extremely hit and miss variety show with most shows leaning towards the latter their pay per views for the most part have been good occasionally very good but the womens division overused comedy segments repetition and booking hasnt been up to scratch and match quality nowhere near the heights suggested outside of some excellent tag matches every so often usually involving the young bucks for me aew has lost its charm much of which is due to tony khan including going against his word and becoming a weak on screen character and showing nothing of the sort sports presentation kennybuckscody social media antics and their own loss of charm repetitive weak booking poor use of new talent and being everything they said they wouldnt be the world does not need a wwe lite it needs an alternative the ratings have gone down for these reasons get back on track before its too late of course the hardcore fans will give you matches or for every show but those that actually care about long term success and can see through the trees know what changes need to be made the promotion seems split down the middle at the moment wwe lite and pwg lite with a little njpw sprinkled in which leads to nowhere go one way or the other or better yet become what you set out to be the alternative that brings fans and promotions together to create something great at the moment it appears a promotion and fanbase that cannot accept any criticism and thinks everything is awesome while things go from bad to worse get back to what it was in and revitalise the booking utilise the talent at hand that know what works in and find the rewards as it stands this is a promotion going downhill and becoming a wwe alternative rather than a true alternative to wwe yet has tremendous potential if it can stop being the self congratulatory promotion that wants to pat itself on the back rather than achieve something special i hope they make the changes necessary before it becomes a sad product that could have been something great i truly hope tony khan checks his ego at the door sooner or later and hires the appropriate bookers and creative team that can get the best from a talent roster of workers,428
2022-02-03,,"""Aew got me back into wrestling in November 2019 and have been watching dynamite and rampage every week ever since really enjoy how no show is the same and the great storylines keep me coming back!""",,aew got me back into wrestling in november and have been watching dynamite and rampage every week ever since really enjoy how no show is the same and the great storylines keep me coming back,35
