date,rating,comment_,mark?,comment_clean,total_words
2022-09-04,10.0,"""Very much good and bad times have been experienced shortly before bankruptcy and yet this league still exists. Has a largely fantastic backlog (of course misty misty, is normal after so many years). Nowadays IMPACT offers super storytelling with good to great matcheson a weekly and monthly basis. Meanwhile remained constant for years. """,Mark,very much good and bad times have been experienced shortly before bankruptcy and yet this league still exists has a largely fantastic backlog of course misty misty is normal after so many years nowadays impact offers super storytelling with good to great matcheson a weekly and monthly basis meanwhile remained constant for years,53
2022-03-22,4.0," ""I don't know, TNA to me was always just mid. Tried to get into it a couple times over the last 15 years, but I just can't. If I was a little older back in the Styles, Joe, Suicide days, I might've been able to appreciate those banger matches. But can't really say I've ever truly enjoyed an Impact show.""",Not a Mark,i dont know tna to me was always just mid tried to get into it a couple times over the last years but i just cant if i was a little older back in the styles joe suicide days i mightve been able to appreciate those banger matches but cant really say ive ever truly enjoyed an impact show,59
2022-02-03,6.0," ""Once, the 2nd biggest wrestling promotion in the US, it almost went to ruin under Dixie Carter's leadership but has since found it's footing again. It seems improbable that Impact will be as good as it once was, especially with AEW's hot rise and WWE's presence, but it is still standing its ground. Some of the greatest wrestlers on the planet are alumni from this promotion: AJ Styles, Kurt Angle, Sting, Samoa Joe, etc. to name a few.""",Not a Mark,once the biggest wrestling promotion in the us it almost went to ruin under dixie carters leadership but has since found its footing again it seems improbable that impact will be as good as it once was especially with aews hot rise and wwes presence but it is still standing its ground some of the greatest wrestlers on the planet are alumni from this promotion aj styles kurt angle sting samoa joe etc to name a few,77
2022-01-03,5.0," ""A super up and down history, TNA/Impact has certainly had its moments. There is potential in Impact, but it's not there yet.""",Not a Mark,a super up and down history tnaimpact has certainly had its moments there is potential in impact but its not there yet,22
2022-11-02,10.0," ""I won't pretend the in-ring is the best you can see on TV these days, but for both employing wrestlers for twenty years and for being the best place on TV for wrestler's to show character, build, and growth, TNA/Impact will always get a gold rating from me.""",Mark,i wont pretend the inring is the best you can see on tv these days but for both employing wrestlers for twenty years and for being the best place on tv for wrestlers to show character build and growth tnaimpact will always get a gold rating from me,48
2022-01-24,7.0," ""Impact has a storied history full of ups and downs. How many times has the company been on the verge of closing only to rally back' The past couple of years has really seen the company improve. Lots of great stars, awesome matches, and their working relationships with NJPW and AEW have given them some amazing roster depth. 2021 brought me back to the company.""",Mark,impact has a storied history full of ups and downs how many times has the company been on the verge of closing only to rally back the past couple of years has really seen the company improve lots of great stars awesome matches and their working relationships with njpw and aew have given them some amazing roster depth brought me back to the company,64
2022-01-21,7.0," ""There have been some rough years but Impact is in a good spot right now. Moose is a heel champ that's fun to root against. There's a nice ongoing story with the babyface Josh Alexander chasing after Moose but having to face many challenges along the way. The Knockouts division has consistently been one of the greatest parts of Impact, Mickie James is a great vet and can still deliver in the ring as champ. The tag divisions are kinda meh at the moment but The IInspiration are fun in their various segments (and one of the most puzzling WWE firings). The X-Division is the division to watch this year. Trey Miguel, Ace Austin, Mike Bailey, Laredo Kid, Chris Bey, and Steve Maclin have the ability to put on some phenomenal matches. I will revisit this score after Slammiversary or Bound for Glory.""",Mark,there have been some rough years but impact is in a good spot right now moose is a heel champ thats fun to root against theres a nice ongoing story with the babyface josh alexander chasing after moose but having to face many challenges along the way the knockouts division has consistently been one of the greatest parts of impact mickie james is a great vet and can still deliver in the ring as champ the tag divisions are kinda meh at the moment but the iinspiration are fun in their various segments and one of the most puzzling wwe firings the xdivision is the division to watch this year trey miguel ace austin mike bailey laredo kid chris bey and steve maclin have the ability to put on some phenomenal matches i will revisit this score after slammiversary or bound for glory,143
2021-12-26,6.0," ""Right now Impact can be described as an entertaining product to watch if you have that extra time in a week. Is not a must watch promotion, there's absolutely nothing about them I can say ""Wow, they are the best at doing this"" but still is good enough to spend a couple of hours entertained.""",Not a Mark,right now impact can be described as an entertaining product to watch if you have that extra time in a week is not a must watch promotion theres absolutely nothing about them i can say wow they are the best at doing this but still is good enough to spend a couple of hours entertained,55
2021-11-12,7.0," ""In with all the lol TNA stuff are some absolute gems in terms of In ring action and story telling and they have been a hugely important part of many careers.""",Mark,in with all the lol tna stuff are some absolute gems in terms of in ring action and story telling and they have been a hugely important part of many careers,31
2021-01-12,5.0," ""I haven't watched Impact in many years, so this review is not necessarily based on their current content. However, from what I can see, they have fallen far from their glory days. Their roster has been ransacked by much larger promotions and they have very few stars remaining. TNA's best years were from about 2003-2008, where during that period they were unquestionably better than WWE. However once Vince Russo and his boys joined, it quickly fell off a cliff and turned into WCW-lite, and became literally unwatchable, illogical, tasteless garbage. Things got better once they all left, but Impact took a long time to recover, and they are still feeling the damage. At least at a glance, Impact is a shell of the company it used to be. The company that once produced fantastic television every week, pioneered the X-Division, and introduced the likes of AJ Styles, Chris Daniels, Samoa Joe and many others to mainstream audiences is now practically irrelevant, only surviving due to partnerships with larger companies, brand deals and the fact that their parent company owns the TV network they air on. Now it even struggles to draw in 100, 000 viewers every week, when just a few years ago it easily pulled over a million. What a shame, but after everything that this company has been through, perhaps it was inevitable. Still, Impact will continue surviving, for better or for worse.""",Not a Mark,i havent watched impact in many years so this review is not necessarily based on their current content however from what i can see they have fallen far from their glory days their roster has been ransacked by much larger promotions and they have very few stars remaining tnas best years were from about where during that period they were unquestionably better than wwe however once vince russo and his boys joined it quickly fell off a cliff and turned into wcwlite and became literally unwatchable illogical tasteless garbage things got better once they all left but impact took a long time to recover and they are still feeling the damage at least at a glance impact is a shell of the company it used to be the company that once produced fantastic television every week pioneered the xdivision and introduced the likes of aj styles chris daniels samoa joe and many others to mainstream audiences is now practically irrelevant only surviving due to partnerships with larger companies brand deals and the fact that their parent company owns the tv network they air on now it even struggles to draw in  viewers every week when just a few years ago it easily pulled over a million what a shame but after everything that this company has been through perhaps it was inevitable still impact will continue surviving for better or for worse,232
