date,rating,comment_,mark?,comment_clean,total_words
2022-03-30,9.0," ""They created their own world that rejected reality, and everything they presented in service of that atmosphere made sense. I'm not even a big spot person, but those matches fit their world, unlike promotions with a supposed authentic appeal, doing things that make no sense to anyone with an authentic brain. It's a scripted wrestling TV show that didn't pretend to do traditional live wrestling at the same time. Other promotions on tv try to have it both ways by appealing to the network masters and also the live gate, which has always come across to me as a phony in-between thing. But they straight up made an f'n crazy fictional tv show with wild characters that settled their differences by pro-wrestling in a ring, and it was awesome. Hopefully this is the future of TV wrestling for the younger audiences that don't buy into the weird mix that everyone else is doing.""",Mark,they created their own world that rejected reality and everything they presented in service of that atmosphere made sense im not even a big spot person but those matches fit their world unlike promotions with a supposed authentic appeal doing things that make no sense to anyone with an authentic brain its a scripted wrestling tv show that didnt pretend to do traditional live wrestling at the same time other promotions on tv try to have it both ways by appealing to the network masters and also the live gate which has always come across to me as a phony inbetween thing but they straight up made an fn crazy fictional tv show with wild characters that settled their differences by prowrestling in a ring and it was awesome hopefully this is the future of tv wrestling for the younger audiences that dont buy into the weird mix that everyone else is doing,153
2022-03-01,9.0," ""Great show that I wish was still around and we got a proper pay off. Thankfully we have Penta, Fenix and a lot of the best wrestlers from Lucha now in AEW getting their deserved national exposure.""",Mark,great show that i wish was still around and we got a proper pay off thankfully we have penta fenix and a lot of the best wrestlers from lucha now in aew getting their deserved national exposure,37
2022-01-28,5.0," ""The in ring action was fine for the most part but I think they went to far in trying to be a ""TV show"" I could never get into the magic and ancient tribes stuff they did. Didn't help a lot of the special effects looked so bad""",Not a Mark,the in ring action was fine for the most part but i think they went to far in trying to be a tv show i could never get into the magic and ancient tribes stuff they did didnt help a lot of the special effects looked so bad,48
2021-09-26,,"""I was a massive fan of this promotion and I really wish it could've stayed around longer, but I understand the issues it had with talent which were pretty extreme. The production was the best of any promotion ever and the matches were exciting, but it was backstage stuff that screwed the promotion over. I got introduced to Prince Puma/Ricochet, Fenix, Pentagon, Aerostar, Drago, Brian Cage, AR Fox, Killshot/Shane Strickland/Isiah Scott, and Angelico because of this promotion and I'm forever grateful for it.""",,i was a massive fan of this promotion and i really wish it couldve stayed around longer but i understand the issues it had with talent which were pretty extreme the production was the best of any promotion ever and the matches were exciting but it was backstage stuff that screwed the promotion over i got introduced to prince pumaricochet fenix pentagon aerostar drago brian cage ar fox killshotshane stricklandisiah scott and angelico because of this promotion and im forever grateful for it,83
2021-09-15,10.0," ""2010's cult phenomenon of a wrestling show that reminded me of how ECW was the ultimate cult phenomenon of 1990's North American wrestling. Season 1-3 were incredible, just plain dope. Season 4 on the other hand, was kinda TRASH, ex-WWE wrestlers took over the scene (Jake Hager becomes the World Champion), new setting location that did not fit the theme of Lucha Underground at all, lost too many key wrestlers (such as the ACE of Lucha Underground, Prince Puma (Ricochet). The magic was completely gone by Season 4. But Seasons 1-3 were too special to ignore, and left super strong memories.""",Mark,cult phenomenon of a wrestling show that reminded me of how ecw was the ultimate cult phenomenon of north american wrestling season were incredible just plain dope season on the other hand was kinda trash exwwe wrestlers took over the scene jake hager becomes the world champion new setting location that did not fit the theme of lucha underground at all lost too many key wrestlers such as the ace of lucha underground prince puma ricochet the magic was completely gone by season but seasons were too special to ignore and left super strong memories,95
2021-09-07,1.0,"""You have to like this kind of wrestling to gain the whole thing. Initially, I found it refreshing, sometimes other than WWE or TNA. However, that was quickly drowned. This shipment / league was just too spotlastic, what you are fullhas seen these absolutely stupid fantasy stories and the exaggerated cuts. In addition, the exaggerated Creowd Reactions, who gave the whole thing to a kind of Sitcom. In order to say it differently: Exactly such shows are the reason why one is a wrestling fanOften, it is often smiled. Exaggerated and silly format, where outsiders without wrestling can only shake the head, as you can give yourself a nonsense. """,Not a Mark,you have to like this kind of wrestling to gain the whole thing initially i found it refreshing sometimes other than wwe or tna however that was quickly drowned this shipment league was just too spotlastic what you are fullhas seen these absolutely stupid fantasy stories and the exaggerated cuts in addition the exaggerated creowd reactions who gave the whole thing to a kind of sitcom in order to say it differently exactly such shows are the reason why one is a wrestling fanoften it is often smiled exaggerated and silly format where outsiders without wrestling can only shake the head as you can give yourself a nonsense,108
2021-08-12,10.0,"""God I loved Luch Underground. It was refreshing, new and simply different. This series principle with seasons and a temple in Mexico with Luchadors. That was really cool. The matches were top and the stories have a tied up and the storiesAt some point downhill but I would not complain about a Lucha Underground 2. 0. """,Mark,god i loved luch underground it was refreshing new and simply different this series principle with seasons and a temple in mexico with luchadors that was really cool the matches were top and the stories have a tied up and the storiesat some point downhill but i would not complain about a lucha underground,54
2021-08-11,8.0," ""Incredible stuff. I really do hope they get a second season because the storylines have been really fascinating, some interesting characters and great matches. It's really a tremendous promotion. EDIT: Updating my review to reflect how things ended up. The first couple of seasons of Lucha Underground were tremendously creative and fun. After that, the show started to go downhill hard. The storylines stopped making sense, Sexy Star, who had very little talent, was pushed. Storylines stopped making sense. Wrestler's ""died""... I would describe Lucha Underground as being akin to a rock star that has a great start but flames out quickly because they couldn't control themselves. Lucha Underground had that same problem. It was a mismanaged company that ended with a whimper after a start that had so much promise.""",Mark,incredible stuff i really do hope they get a second season because the storylines have been really fascinating some interesting characters and great matches its really a tremendous promotion edit updating my review to reflect how things ended up the first couple of seasons of lucha underground were tremendously creative and fun after that the show started to go downhill hard the storylines stopped making sense sexy star who had very little talent was pushed storylines stopped making sense wrestlers died i would describe lucha underground as being akin to a rock star that has a great start but flames out quickly because they couldnt control themselves lucha underground had that same problem it was a mismanaged company that ended with a whimper after a start that had so much promise,131
2021-07-18,9.0," ""I still reminisce about the first couple seasons of LU. I didn't watch the final season but the first two were amazing and the third was really good for the most part. I miss it so much.""",Mark,i still reminisce about the first couple seasons of lu i didnt watch the final season but the first two were amazing and the third was really good for the most part i miss it so much,37
2021-07-11,10.0," ""Lucha Underground was one of the most unique wrestling promotions we've ever seen with some genuinely fantastic matches. I highly recommend people to check this promotion out.""",Mark,lucha underground was one of the most unique wrestling promotions weve ever seen with some genuinely fantastic matches i highly recommend people to check this promotion out,27
