date,rating,comment_,mark?,comment_clean,total_words
2022-03-27,7.0," ""NJPW at his best can be unbeatable and put 5 star match after 5 star match MOTYC, and at his worst (like it is right now) a decent promotion that still have a couple of MOTYC scattered throughout the year. If not for the fact that they have too damn many filler shows with nothing worth watching they'd have a higher rating.""",Mark,njpw at his best can be unbeatable and put star match after star match motyc and at his worst like it is right now a decent promotion that still have a couple of motyc scattered throughout the year if not for the fact that they have too damn many filler shows with nothing worth watching theyd have a higher rating,60
2022-03-23,8.0," ""Is this modern era shin nihon overrated? Definitely, but still the best singles matches you'll ever see, I don't care what anyone else says. However, the big problem with some of those matches is their formulaic forced epic nature (Stardom also has this problem). The excuse given is, the audience has a different understanding of the human psychology. It gets pretty lame, not exactly the place for so many charismatic global stars. I want to emphasize: Their production style, even for a big company, makes the most sense for wrestling. Wrestling is more like theater, so you don't need like a dozen freakin' cameras to show how much money you got, and no cutting between them every freakin' second as if the audience has ADHD. Even though I hate when wrestlers illogically spam moves like crazy (and I'll never understand the german 'no-sell'), I still prefer the directing style which makes everything more enjoyable as a result. This is the main reason it's ahead of other promotions that use too many camera tricks, causing TV sea sickness. And the vibe is pretty freaking great too, by feeling chill/not rude but also picking up with excitement at the appropriate times.""",Mark,is this modern era shin nihon overrated definitely but still the best singles matches youll ever see i dont care what anyone else says however the big problem with some of those matches is their formulaic forced epic nature stardom also has this problem the excuse given is the audience has a different understanding of the human psychology it gets pretty lame not exactly the place for so many charismatic global stars i want to emphasize their production style even for a big company makes the most sense for wrestling wrestling is more like theater so you dont need like a dozen freakin cameras to show how much money you got and no cutting between them every freakin second as if the audience has adhd even though i hate when wrestlers illogically spam moves like crazy and ill never understand the german nosell i still prefer the directing style which makes everything more enjoyable as a result this is the main reason its ahead of other promotions that use too many camera tricks causing tv sea sickness and the vibe is pretty freaking great too by feeling chillnot rude but also picking up with excitement at the appropriate times,199
2022-03-19,9.0," ""Although New Japan has been home to the world's best in-ring product for a long time, they've been struggling with the booking lately. Changing the world title was the worst possible thing they could've ever done. Otherwise it would be a 10, but it's just not the same atm.""",Mark,although new japan has been home to the worlds best inring product for a long time theyve been struggling with the booking lately changing the world title was the worst possible thing they couldve ever done otherwise it would be a but its just not the same atm,48
2022-03-06,8.0," ""They have been around since 1972. They are probably the most well-known puroresu promotion ever. They usually have at least some matches that are considered a MOTYC. When their matches are good, they are sometimes among the best in the world. When their matches are not good, they can be very underwhelming and disappointing. Their junior heavyweight division is probably the most legendary junior heavyweight division in wrestling history.""",Mark,they have been around since they are probably the most wellknown puroresu promotion ever they usually have at least some matches that are considered a motyc when their matches are good they are sometimes among the best in the world when their matches are not good they can be very underwhelming and disappointing their junior heavyweight division is probably the most legendary junior heavyweight division in wrestling history,68
2022-03-04,5.0," ""A pre-pandemic score would be much higher, but they have really fallen off since. Although the pandemic is as good a reason as any for a dip in business and creative, there are just so many Japanese promotions that actually gained steam over this time that I can't really give much credit to NJPW when WrestleUniverse and the indies are doing more creative things (almost) daily.""",Not a Mark,a prepandemic score would be much higher but they have really fallen off since although the pandemic is as good a reason as any for a dip in business and creative there are just so many japanese promotions that actually gained steam over this time that i cant really give much credit to njpw when wrestleuniverse and the indies are doing more creative things almost daily,66
2022-02-23,4.0,"""New Japan was the best promotion of the world for so many years and I was a very big fan. Since the beginning of the pandemic, however, has been degraded so incredibly, one is only a shadow of his own. The booking is unbelievable stupid, there is permanentInterventions in the matches and you repeat each pairing to vomiting. These lines come from a long big fan, which you have meanwhile engraved. Pair good matches alone are not enough, because the match quality has also been severely reduced. Hopefully one is one dayAgain on the old strengths and I can increase my rating again. """,Not a Mark,new japan was the best promotion of the world for so many years and i was a very big fan since the beginning of the pandemic however has been degraded so incredibly one is only a shadow of his own the booking is unbelievable stupid there is permanentinterventions in the matches and you repeat each pairing to vomiting these lines come from a long big fan which you have meanwhile engraved pair good matches alone are not enough because the match quality has also been severely reduced hopefully one is one dayagain on the old strengths and i can increase my rating again,103
2022-02-07,3.0,"""[6 points] New Japan was known for years for strong wrestling and meaningful booking. After holding it since your corona break, but you have extremely strongly reduced (also in terms of match quality). Much has a lot of looks panicked and not thoughtful, the best Example is even worse, but your tour plan is in May and June: Wrestling Dontaku on May 3, 12 days later Wrestle Grand Slam in Yokohama Stadium, again 2 weeks later Wrestle Grand Slam in Tokyo Dome and Final 8 days later Dominion. How should the Cards look like? This harms the product and credibility of the wrestler itself. Currently I can hardly touch New Japan. Update: gradation on 3 points. The booking is now even worse Vince Russo regions, sometimes even worse. You do not be able to build new stars, let alone convey somehow that you should be interested in any ""fresh"" wrestler. Instead, become Always the same wrestler brought into prominent spots, even if one gains (forced) possibilities to bring others upwards. For example, Zack, after Naito injured in the G1. I hurt that the promotion is so bad. I did not pursue no league for a long period of time. I do not think that something is going to be a good thing in the future. With thick Togo as a booker, it can only be worse. I am worried if someday Shota Umino, Ren Narita, Yota Tsuji come back from their excursion. Definitely the beginning of a dark era. """,Not a Mark,new japan was known for years for strong wrestling and meaningful booking after holding it since your corona break but you have extremely strongly reduced also in terms of match quality much has a lot of looks panicked and not thoughtful the best example is even worse but your tour plan is in may and june wrestling dontaku on may  days later wrestle grand slam in yokohama stadium again weeks later wrestle grand slam in tokyo dome and final days later dominion how should the cards look like this harms the product and credibility of the wrestler itself currently i can hardly touch new japan update gradation on points the booking is now even worse vince russo regions sometimes even worse you do not be able to build new stars let alone convey somehow that you should be interested in any fresh wrestler instead become always the same wrestler brought into prominent spots even if one gains forced possibilities to bring others upwards for example zack after naito injured in the i hurt that the promotion is so bad i did not pursue no league for a long period of time i do not think that something is going to be a good thing in the future with thick togo as a booker it can only be worse i am worried if someday shota umino ren narita yota tsuji come back from their excursion definitely the beginning of a dark era,241
2022-02-07,8.0,"""For me personally to AEW my favorite company Current. All events I do not look, but that's hardly possible with the many shows. NJPW has a very unique roster with people who all tell a different story. And they always do itagain, if wrestler go to the WWE, then put something better on the legs. Wrestle Kingdom is wrestlier always the highlight in the year. G1 is divine. The stables are all unique. NJPW is great. But in recent years but very mined, Since the pandemic, somehow the worm is in it. The matches are all top, but the booking. You can only partially grasp the head. """,Mark,for me personally to aew my favorite company current all events i do not look but thats hardly possible with the many shows njpw has a very unique roster with people who all tell a different story and they always do itagain if wrestler go to the wwe then put something better on the legs wrestle kingdom is wrestlier always the highlight in the year is divine the stables are all unique njpw is great but in recent years but very mined since the pandemic somehow the worm is in it the matches are all top but the booking you can only partially grasp the head,106
2022-02-03,10.0," ""This stands tall as the best professional wrestling in the world today. I hope they exposed too much in the US so that the American soil will witness how great NJPW is. Glad we have NJPW Strong though but still not enough exposure. AEW and WWE fans have no idea that this promotion is the best. They have the best matches, the best wrestlers, the best crowd, the best storytelling, the best titles, everything is great. Stories that are logical and unquestionable, wrestlers that built and crafted like gods, titles that have preserved and only few chosen to be IWGP World champion due to the sacredness. The Young Lions system is a perfect way to show their abilities at basic and who will stand out by using basic moves. Although I must admit due to the pandemic, NJPW lay-low for a while and had some booking problems especially with the Bullet Club but overall, still the best wrestling for those perfectionists and for the guys who wants good quality wrestling. Guys like Okada, Omega, Tanahashi, Ibushi, Naito, Ospreay, Suzuki, Ishii, Nakamura honed their craft to the fullest there at NJPW. If you want quality wrestling with amazing matches and not to insult our intelligence, then this promotion is just for you.""",Mark,this stands tall as the best professional wrestling in the world today i hope they exposed too much in the us so that the american soil will witness how great njpw is glad we have njpw strong though but still not enough exposure aew and wwe fans have no idea that this promotion is the best they have the best matches the best wrestlers the best crowd the best storytelling the best titles everything is great stories that are logical and unquestionable wrestlers that built and crafted like gods titles that have preserved and only few chosen to be iwgp world champion due to the sacredness the young lions system is a perfect way to show their abilities at basic and who will stand out by using basic moves although i must admit due to the pandemic njpw laylow for a while and had some booking problems especially with the bullet club but overall still the best wrestling for those perfectionists and for the guys who wants good quality wrestling guys like okada omega tanahashi ibushi naito ospreay suzuki ishii nakamura honed their craft to the fullest there at njpw if you want quality wrestling with amazing matches and not to insult our intelligence then this promotion is just for you,211
2022-01-30,10.0," ""During it's long history New Japan has had many ups and downs. For the most part the good outweighs the bad. Sadly right now New Japan is in a down period hopefully it turns around soon""",Mark,during its long history new japan has had many ups and downs for the most part the good outweighs the bad sadly right now new japan is in a down period hopefully it turns around soon,36
2022-01-21,8.0," ""NJPW should be a 10 if it kept up its momentum but these past couple of years have been rough. The World Heavyweight Championship is in a great position with Okada back on top, but there's not much in the way of new challengers at the moment. The in-ring quality with Okada continues to be excellent though. The junior heavyweight singles division is solid and has some great wrestlers. It's not worth getting invested in the tag divisions however, they're treated as more of an afterthought. The United States Championship is supposed to be the title to spearhead NJPW's US expansion but the Pandemic has severely messed with that plan. EVIL and the House of Torture are the focal points of the Openweight championships and it's been rough. EVIL matches have been full of interference and not much fun at all. The King of Pro-Wrestling Championship is a quirky filler belt that it's fun to see Yano compete for. I can't comment much on Strong but from the small glimpses I've had, it seems like an interesting mix of young lions and various indie wrestlers. I'll review this score after Wrestle Kingdom.""",Mark,njpw should be a if it kept up its momentum but these past couple of years have been rough the world heavyweight championship is in a great position with okada back on top but theres not much in the way of new challengers at the moment the inring quality with okada continues to be excellent though the junior heavyweight singles division is solid and has some great wrestlers its not worth getting invested in the tag divisions however theyre treated as more of an afterthought the united states championship is supposed to be the title to spearhead njpws us expansion but the pandemic has severely messed with that plan evil and the house of torture are the focal points of the openweight championships and its been rough evil matches have been full of interference and not much fun at all the king of prowrestling championship is a quirky filler belt that its fun to see yano compete for i cant comment much on strong but from the small glimpses ive had it seems like an interesting mix of young lions and various indie wrestlers ill review this score after wrestle kingdom,191
2021-12-31,3.0," ""They were a great company, however I feel as thought they have gotten worse in booking, they do have a good matches, but it feels like they have also gotten worse, if less so, the future can go either bad or good, if they continue down the path of rule breaking; constant interference, while filling the gap with lesser stars like SANADA, EVIL, O-Khan and Wato. On the other hand they could redeem themselves with less bullshit and hopefully the current crop of young lions and those on excursion make up for the the lapse in talent the newer wrestlers are.""",Not a Mark,they were a great company however i feel as thought they have gotten worse in booking they do have a good matches but it feels like they have also gotten worse if less so the future can go either bad or good if they continue down the path of rule breaking constant interference while filling the gap with lesser stars like sanada evil okhan and wato on the other hand they could redeem themselves with less bullshit and hopefully the current crop of young lions and those on excursion make up for the the lapse in talent the newer wrestlers are,101
2021-12-04,2.0," ""Even before New Japan went through Covid, the cracks were beginning to show. After the elite was beaten on Jan 4th, 2019, and went off to form AEW; NJPW 2018 built off foreigners to gain exposure lost it all when they left for different prospects. 2019 was a rebuilding year and it positioned Naito and Ibushi as the two new top guys. 2019 was worse than 2018 as a whole but the direction was clear. Then Naito won the belt and things looked up, but then Covid hit. Out of all the companies in the world New Japan probably handled Covid the worst. Their match style is very fans participation oriented can't respond due to restrictions and they refused to change it. Booking wise they were at their lowest. While Noah and stardom gained prestige during this period, The WWE of Japan fell from grace. They have the resources to turn the tide but as of now, their product is unimpressive.""",Not a Mark,even before new japan went through covid the cracks were beginning to show after the elite was beaten on jan  and went off to form aew njpw built off foreigners to gain exposure lost it all when they left for different prospects was a rebuilding year and it positioned naito and ibushi as the two new top guys was worse than as a whole but the direction was clear then naito won the belt and things looked up but then covid hit out of all the companies in the world new japan probably handled covid the worst their match style is very fans participation oriented cant respond due to restrictions and they refused to change it booking wise they were at their lowest while noah and stardom gained prestige during this period the wwe of japan fell from grace they have the resources to turn the tide but as of now their product is unimpressive,155
2021-11-21,10.0," ""It's been slightly improving and they still put on amazing matches even though I doubt it will reach the heights of the 2010's ever again and those years are what this rating is based on. Almost all of my all time favorite matches are from 2010's NJPW, absolutely unbelievable standard of wrestling and wrestlers.""",Mark,its been slightly improving and they still put on amazing matches even though i doubt it will reach the heights of the ever again and those years are what this rating is based on almost all of my all time favorite matches are from njpw absolutely unbelievable standard of wrestling and wrestlers,52
2021-11-16,6.0," ""This rating is based off the current product. I consistently try to get through a show and just cannot.""",Not a Mark,this rating is based off the current product i consistently try to get through a show and just cannot,19
2021-11-07,4.0," ""Definitely at a low point right now. The match ups are tired, the main events are drawn out, and the booking is just lame. The real hot Bushiroad product right now is Stardom. I would say when travel opens up that they should get better, but I don't think talent is the problem, for the most part.""",Not a Mark,definitely at a low point right now the match ups are tired the main events are drawn out and the booking is just lame the real hot bushiroad product right now is stardom i would say when travel opens up that they should get better but i dont think talent is the problem for the most part,57
2021-11-03,8.0," ""From 2017 to 2019, NJPW was my favourite wrestling promotion. With the likes of Okada, Tanahashi, Omega, Ibushi and Naito, and a stellar roster they just put on banger after banger. I still consider the years 2012 until 2019 to be the Golden Age of this promotion, and were by far the best promotion during that time thanks to smart booking and match quality. Dominion 2018 started to show the cracks for this promotion though, due to the fact they wanted to take NJPW worldwide and crowned champions that are North American. They still managed to put on great shows, but the cracks where beginning to show. Wrestle Kingdom 13 was their last great show in my eyes, and ever since then NJPW has been on the decline and so has it's booking and match making skills. NJPW has had dark ages in the past with Inoki-ism from 1999 - 2006, but their booking has gone down the drain and from Summer 2019 onwards I feel this promotion has become a joke. I still loved the time I spent on NJPW World watching all the classic matches, but they have struggled deeply ever since WK13 and the wrestlers they are pushing has not been received too well. I give NJPW a 8 rating thanks to the 8 Golden Years they gave us, but it's not looking too well for them going forward.""",Mark,from to njpw was my favourite wrestling promotion with the likes of okada tanahashi omega ibushi and naito and a stellar roster they just put on banger after banger i still consider the years until to be the golden age of this promotion and were by far the best promotion during that time thanks to smart booking and match quality dominion started to show the cracks for this promotion though due to the fact they wanted to take njpw worldwide and crowned champions that are north american they still managed to put on great shows but the cracks where beginning to show wrestle kingdom was their last great show in my eyes and ever since then njpw has been on the decline and so has its booking and match making skills njpw has had dark ages in the past with inokiism from  but their booking has gone down the drain and from summer onwards i feel this promotion has become a joke i still loved the time i spent on njpw world watching all the classic matches but they have struggled deeply ever since and the wrestlers they are pushing has not been received too well i give njpw a rating thanks to the golden years they gave us but its not looking too well for them going forward,219
