date,rating,comment_,mark?,comment_clean,total_words
2022-03-04,9.0," ""Would be a 10 before peak NXT started raiding talent. Fell off to a 8 after that. Then when AEW came along to essentially kill it off, it was at best a 6 or 7. I will remember it for it's great days, and after the 2022 Supercard of Honor, looks like it has promise to return to being the high quality product it was of yesteryears.""",Mark,would be a before peak nxt started raiding talent fell off to a after that then when aew came along to essentially kill it off it was at best a or i will remember it for its great days and after the supercard of honor looks like it has promise to return to being the high quality product it was of yesteryears,62
2022-03-03,9.0," ""A bit like The Simpsons, Ring of Honor is mostly remembered for its first ten years or so, with greats such as Bryan Danielson, CM Punk, Samoa Joe, AJ Styles and Nigel McGuinnness joined by a stellar supporting cast, and a great emerging team in the Briscoes, with many incredible shows and matches, and storylines such as the Summer of Punk and the war with CZW to name but a few. The 2010s weren't as good under the initial Sinclair ownership, but we got the likes of Tyler Black, Kevin Steen and El Generico out of that period, and then there was a flourish in the middle part of the decade with Kenny Omega, The Young Bucks, Cody Rhodes and Adam Cole running amuck. But once they left to help form All Elite Wrestling (Cole joined after his WWE stint), ROH started dying a slow, painful death, and was seemingly laid to rest at Final Battle 2021... until of all people, AEW owner Tony Khan bought the company and its assets. Whether ROH now becomes AEW's developmental territory remains to be seen, but the promotion has lived an interesting life full of ups and downs, and now there's intrigue as to its future.""",Mark,a bit like the simpsons ring of honor is mostly remembered for its first ten years or so with greats such as bryan danielson cm punk samoa joe aj styles and nigel mcguinnness joined by a stellar supporting cast and a great emerging team in the briscoes with many incredible shows and matches and storylines such as the summer of punk and the war with czw to name but a few the werent as good under the initial sinclair ownership but we got the likes of tyler black kevin steen and el generico out of that period and then there was a flourish in the middle part of the decade with kenny omega the young bucks cody rhodes and adam cole running amuck but once they left to help form all elite wrestling cole joined after his wwe stint roh started dying a slow painful death and was seemingly laid to rest at final battle until of all people aew owner tony khan bought the company and its assets whether roh now becomes aews developmental territory remains to be seen but the promotion has lived an interesting life full of ups and downs and now theres intrigue as to its future,201
2022-01-24,6.0," ""ROH has really dropped off since 2019. As 2022 begins their future is in question. I hope that they return to their former glory, but as it stands now they have a very bland product.""",Not a Mark,roh has really dropped off since as begins their future is in question i hope that they return to their former glory but as it stands now they have a very bland product,33
2021-12-23,5.0," ""I guess this is more an obituary. No one sees ROH coming back. Sinclair killed them. Maybe Tony Khan will buy the belts and tape library.""",Not a Mark,i guess this is more an obituary no one sees roh coming back sinclair killed them maybe tony khan will buy the belts and tape library,26
2021-12-15,7.0," ""Been an off & on watcher from very early days to 2019. Always found ROH a little too niche, and I think others thought the same, as they really never grew that big. Always found myself struggling to really get invested with ROH, but i found myself really enjoying their 1 hour weekly show on The Fight Network in 2019, and it really seemed like they were on the up again, but scandals and the pandemic hit them hard especially. I really hope this isn't the end because so many great names & talents came from here, and many enjoyed this promotion, even if I might not have been the biggest fan.""",Mark,been an off on watcher from very early days to always found roh a little too niche and i think others thought the same as they really never grew that big always found myself struggling to really get invested with roh but i found myself really enjoying their hour weekly show on the fight network in and it really seemed like they were on the up again but scandals and the pandemic hit them hard especially i really hope this isnt the end because so many great names talents came from here and many enjoyed this promotion even if i might not have been the biggest fan,107
2021-12-13,10.0," ""When I heard that ROH was going to release all of their workers, I had a feeling it meant they were finished. They say they're going to come back in April next year but I strongly doubt it and even if they do' It won't be the same. The reason I say this is simple. If ECW was the blueprint of a modern-day indie promotion, ROH was the one that refined it. At one point, they had perhaps the most talented roster in all of professional wrestling. Look at some of the names that were in the promotion: AJ Styles, Cody Rhodes, CM Punk, Daniel Bryan, The Young Bucks, Kevin Steen, El Generico, Austin Aries, Samoa Joe, Christopher Daniels, Tyler Black, Adam Cole. That's an all-star cast. All of them have gone on to find great success not just in WWE, but in AEW, Impact, and NJPW. Like with ECW, they were the cool alternative to WWE but they went in an entirely different approach, focusing on smaller guys with heart and skill and portraying it more as a sport than a 'sport that entertains'. This worked perfectly and it helped that the 'smart' wrestling fandom was steadily growing by this time. That's why their demise is an absolute blow to the wrestling industry. It represents the end of an era. ROH was the father of the modern independent scene and it led the way for other promotions like PWG, CZW, EVOLVE and so many others to be created. Not only that, they managed to change how WWE does business, bringing in a lot of their top guys and turning them into legit headliners. For their contributions to wrestling, I believe it's only fair that they get the highest possible rating. Thank you ROH for everything you've done for the industry.""",Mark,when i heard that roh was going to release all of their workers i had a feeling it meant they were finished they say theyre going to come back in april next year but i strongly doubt it and even if they do it wont be the same the reason i say this is simple if ecw was the blueprint of a modernday indie promotion roh was the one that refined it at one point they had perhaps the most talented roster in all of professional wrestling look at some of the names that were in the promotion aj styles cody rhodes cm punk daniel bryan the young bucks kevin steen el generico austin aries samoa joe christopher daniels tyler black adam cole thats an allstar cast all of them have gone on to find great success not just in wwe but in aew impact and njpw like with ecw they were the cool alternative to wwe but they went in an entirely different approach focusing on smaller guys with heart and skill and portraying it more as a sport than a sport that entertains this worked perfectly and it helped that the smart wrestling fandom was steadily growing by this time thats why their demise is an absolute blow to the wrestling industry it represents the end of an era roh was the father of the modern independent scene and it led the way for other promotions like pwg czw evolve and so many others to be created not only that they managed to change how wwe does business bringing in a lot of their top guys and turning them into legit headliners for their contributions to wrestling i believe its only fair that they get the highest possible rating thank you roh for everything youve done for the industry,301
2021-03-12,7.0,"""Raw I always looked like. Just the old things I looked at then were very good. But if you compare this with the modern times ... Raw has broken down. The rust has / had great quality and cooperationWith New Japan Roh has always benefited. Now raw takes the time required to return as a new, fresh indie product. """,Mark,raw i always looked like just the old things i looked at then were very good but if you compare this with the modern times raw has broken down the rust has had great quality and cooperationwith new japan roh has always benefited now raw takes the time required to return as a new fresh indie product,57
2021-01-12,7.0," ""Assets: Had, at one time, a roster that was relatively loyal and fortified with top talent (either through talent exchanges or via free agency. ) Enjoys a sizable broadcast presence thanks to its parent company. Met the criteria for a national league at its peak. - - - Flaws: Continued and sustained mismanagement by its parent corporation has resulted in sustained raids on its roster, the formation of a new competing wrestling promotion, a lack of prime-time television deal despite being owned by a prominent television broadcaster, and ultimately the promotion's contraction in size as every other competing promotion seems on pace to recover from the pandemic. Has been guilty of booking champions based on who they feel deserves it rather than who fans would want to see win. Hasn't been absent of the occasional scandal despite its namesake. - - - Promotion Potential: Minor league wrestling promotion in peril of being relegated to an independent promotion.""",Mark,assets had at one time a roster that was relatively loyal and fortified with top talent either through talent exchanges or via free agency enjoys a sizable broadcast presence thanks to its parent company met the criteria for a national league at its peak  flaws continued and sustained mismanagement by its parent corporation has resulted in sustained raids on its roster the formation of a new competing wrestling promotion a lack of primetime television deal despite being owned by a prominent television broadcaster and ultimately the promotions contraction in size as every other competing promotion seems on pace to recover from the pandemic has been guilty of booking champions based on who they feel deserves it rather than who fans would want to see win hasnt been absent of the occasional scandal despite its namesake  promotion potential minor league wrestling promotion in peril of being relegated to an independent promotion,150
2021-03-11,7.0," ""It's so tragic to see what has come to happen to Ring of Honor. At one time, they used to be the BEST in-ring wrestling promotion on the planet, but now they are perhaps the least necessary promotion around.""",Mark,its so tragic to see what has come to happen to ring of honor at one time they used to be the best inring wrestling promotion on the planet but now they are perhaps the least necessary promotion around,39
2021-10-27,5.0," ""ROH once upon a time had elements that gave it that massive darkhorse vibe, where it was putting on this insane alternative to what other mainstream companies were doing at the time. It was a very sports-feeling, no nonsense, no bullshit promotion where wrestlers can wrestle until dawn. From it's inception all the way until Jim Cornette took over it was considered that promotion you heard all of the people on the internet talking about and wanted to know more from due to how different it was, and it was some of the best wrestling on the planet. It's darker years were that of the time Cornette was booking the promotion, trying to incorporate elements that just didn't work. Once Cornette left, ROH started to gain it's footing again and by 2016/2017 became one of the most must watch indie promotions in the US. However, it would hit yet another dark age that is still going on as one of their biggest centerpieces, The Elite, would leave the company and form AEW. Nowadays, while the company is once again trying to find it's niche audience, it feels like a shell of it's former self.""",Not a Mark,roh once upon a time had elements that gave it that massive darkhorse vibe where it was putting on this insane alternative to what other mainstream companies were doing at the time it was a very sportsfeeling no nonsense no bullshit promotion where wrestlers can wrestle until dawn from its inception all the way until jim cornette took over it was considered that promotion you heard all of the people on the internet talking about and wanted to know more from due to how different it was and it was some of the best wrestling on the planet its darker years were that of the time cornette was booking the promotion trying to incorporate elements that just didnt work once cornette left roh started to gain its footing again and by became one of the most must watch indie promotions in the us however it would hit yet another dark age that is still going on as one of their biggest centerpieces the elite would leave the company and form aew nowadays while the company is once again trying to find its niche audience it feels like a shell of its former self,193
2021-09-29,6.0," ""Used to be one of the best wrestling promotions in the world but those days are long gone. Still gets a 6/10 cause of their glorious past...""",Not a Mark,used to be one of the best wrestling promotions in the world but those days are long gone still gets a cause of their glorious past,26
